date,consumo_mwh,flag_atipico
2021-10-01,383327.98110999994,1
2021-11-01,375892.33,1
2021-12-01,388014.26,1
2022-01-01,386851.16,0
2022-02-01,382735.05,0
2022-03-01,404868.69000000006,0
2022-04-01,412094.29,0
2022-05-01,410435.45,0
2022-06-01,376043.54,0
2022-07-01,362934.36,0
2022-08-01,369662.75,0
2022-09-01,374422.92000000004,0
2022-10-01,378970.67999999993,0
2022-11-01,354121.35,0
2022-12-01,354121.35,0
2023-01-01,408045.02,0
2023-02-01,411716.56,0
2023-03-01,422000.52,0
2023-04-01,428919.2200000001,0
2023-05-01,452042.06000000006,0
2023-07-01,437868.37,0
2023-08-01,431795.57,0
2023-09-01,414810.79,0
2023-10-01,438215.77,0
2023-11-01,407616.35000000003,0
2023-12-01,421412.18999999994,0
2024-01-01,462350.11,0
2024-01-01,449914.75000000006,0
2024-01-01,479166.03,0
2024-01-01,8400.845400000002,0
2024-01-01,430759.06000000006,0
2024-01-01,459522.05,0
2024-01-01,493675.91000000003,0
2024-01-01,370941.83626999997,0
2024-01-01,480338.45,0
2024-01-01,409924.19999999995,0
2025-01-01,424613.05351999996,0
2025-01-01,4725595.157199999,0
2025-01-01,445186.2772,0
2025-01-01,497872.42000000004,0
2025-01-01,50596.033,0
2025-01-01,436861.58061999996,0
2025-01-01,453352.26862999995,0
